"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2009-01-02T03:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-0.25,"bereinigt"
"2009-01-02T03:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",974.48,"bereinigt"
"2009-01-02T04:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",85.28,"bereinigt"
"2009-01-02T04:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-02T04:00+0100","Zch_Schimmelstrasse","T","h1","°C",0,"bereinigt"
"2009-01-02T04:00+0100","Zch_Schimmelstrasse","WD","h1","°",341.91,"bereinigt"
"2009-01-02T04:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.26,"bereinigt"
"2009-01-02T04:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",85.07,"bereinigt"
"2009-01-02T04:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-0.32,"bereinigt"
"2009-01-02T04:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",974.29,"bereinigt"
"2009-01-02T05:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",85.08,"bereinigt"
"2009-01-02T05:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-02T05:00+0100","Zch_Schimmelstrasse","T","h1","°C",0.03,"bereinigt"
"2009-01-02T05:00+0100","Zch_Schimmelstrasse","WD","h1","°",356.55,"bereinigt"
"2009-01-02T05:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.15,"bereinigt"
"2009-01-02T05:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",84.6,"bereinigt"
"2009-01-02T05:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-0.4,"bereinigt"
"2009-01-02T05:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",974.02,"bereinigt"
"2009-01-02T06:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",84.85,"bereinigt"
"2009-01-02T06:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-02T06:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.05,"bereinigt"
"2009-01-02T06:00+0100","Zch_Schimmelstrasse","WD","h1","°",261.67,"bereinigt"
"2009-01-02T06:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.17,"bereinigt"
"2009-01-02T06:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",84.67,"bereinigt"
"2009-01-02T06:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-0.37,"bereinigt"
"2009-01-02T06:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",973.92,"bereinigt"
"2009-01-02T07:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",83.9,"bereinigt"
"2009-01-02T07:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-02T07:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.18,"bereinigt"
"2009-01-02T07:00+0100","Zch_Schimmelstrasse","WD","h1","°",261.58,"bereinigt"
"2009-01-02T07:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.3,"bereinigt"
"2009-01-02T07:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",83.5,"bereinigt"
"2009-01-02T07:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-0.52,"bereinigt"
"2009-01-02T07:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",974.03,"bereinigt"
"2009-01-02T08:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",84.47,"bereinigt"
"2009-01-02T08:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-02T08:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.27,"bereinigt"
"2009-01-02T08:00+0100","Zch_Schimmelstrasse","WD","h1","°",254.22,"bereinigt"
"2009-01-02T08:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.17,"bereinigt"
"2009-01-02T08:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",83.9,"bereinigt"
"2009-01-02T08:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-0.5,"bereinigt"
"2009-01-02T08:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",974.16,"bereinigt"
"2009-01-02T09:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",84.37,"bereinigt"
"2009-01-02T09:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"bereinigt"
"2009-01-02T09:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.22,"bereinigt"
"2009-01-02T09:00+0100","Zch_Schimmelstrasse","WD","h1","°",302.11,"bereinigt"
"2009-01-02T09:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.32,"bereinigt"
"2009-01-02T09:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",84,"bereinigt"
